"filename", "language", "SystemVerilog", "Verilog", "comment", "blank", "total"
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\agc_unpack.sv", "SystemVerilog", 135, 0, 50, 34, 219
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\ant_data_buffer.sv", "SystemVerilog", 210, 0, 43, 47, 300
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beam_buffer.sv", "SystemVerilog", 209, 0, 46, 37, 292
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beam_power_calc.sv", "SystemVerilog", 159, 0, 40, 36, 235
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beam_sort.sv", "SystemVerilog", 421, 0, 73, 92, 586
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beams_mem_pick.sv", "SystemVerilog", 352, 0, 53, 66, 471
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\beams_pick_top.sv", "SystemVerilog", 103, 0, 27, 23, 153
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\code_word_rev.sv", "SystemVerilog", 142, 0, 29, 38, 209
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\compress_bit.v", "Verilog", 0, 275, 56, 31, 362
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\compress_matrix.sv", "SystemVerilog", 227, 0, 43, 44, 314
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\compress_shift.sv", "SystemVerilog", 118, 0, 18, 25, 161
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\Simple_Dual_Port_URAM_XPM.v", "Verilog", 0, 63, 281, 25, 369
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\compress_bit.v", "Verilog", 0, 275, 56, 31, 362
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\compress_data.v", "Verilog", 0, 139, 12, 9, 160
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\cpri_tx_gen.v", "Verilog", 0, 116, 18, 23, 157
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\cpri_tx_pkg.v", "Verilog", 0, 176, 47, 47, 270
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\dl_data_gen.sv", "SystemVerilog", 365, 0, 179, 130, 674
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\dl_data_gen_old.v", "Verilog", 0, 366, 177, 132, 675
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\dl_sym_if.v", "Verilog", 0, 164, 13, 22, 199
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\ASYNC_Dual_Port_BRAM_XPM_intel.v", "Verilog", 0, 83, 26, 6, 115
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\FIFO_ASYNC_XPM_intel.v", "Verilog", 0, 56, 12, 3, 71
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\FIFO_SYNC_XPM_intel.v", "Verilog", 0, 52, 10, 3, 65
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\Simple_Dual_Port_BRAM_XPM_intel.v", "Verilog", 0, 80, 25, 5, 110
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\loop_buffer2_sync_intel.v", "Verilog", 0, 175, 25, 47, 247
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\loop_buffer_async_intel.v", "Verilog", 0, 159, 28, 32, 219
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\intel_xpm\common\loop_buffer_sync_intel.v", "Verilog", 0, 153, 27, 42, 222
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\loop_buffer_async.v", "Verilog", 0, 162, 25, 37, 224
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\loop_buffer_sync.v", "Verilog", 0, 156, 25, 38, 219
"e:\Openlab\gitlib\project\pusch\pusch_dim_reduce\src\cpri_package_tx_zyl\package_data.v", "Verilog", 0, 495, 64, 64, 623
